[1, 30, '0', '1', '1', 1, 4, 2, 15, 0]
[1, 32, '1', '1', '1', 1, 5, 2, 6, 0]
[1, 32, '1', '1', '1', 2, 4, 3, 6, 0]
[2, 32, '1', '0', '0', 1, 5, 2, 1, 0]
[2, 31, '1', '1', '0', 1, 4, 2, 6, 0]
[2, 31, '1', '0', '1', 1, 4, 2, 7, 1]
[3, 28, '1', '0', '0', 1, 3, 2, 9, 0]
[0, 30, '1', '0', '0', 1, 5, 2, 9, 0]
[0, 28, '1', '0', '0', 1, 4, 2, 9, 0]
[0, 30, '1', '1', '1', 1, 5, 2, 5, 0]
[0, 29, '1', '0', '1', 1, 5, 2, 3, 0]
[0, 30, '0', '1', '1', 1, 3, 2, 3, 0]
